,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A,DO_2#B,DO_3#,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
43,-0.8823985025495384,0.7898550724637681,0.7828200972447326,0.8277404921700224,0.7408450704225347,-0.530612244897959,0.33333333333333326,-0.4999999999999978,0.7291666666666667,0.9430000000000001,-0.8424721189591078,-0.715909090909091,-0.7105263145844882,0.31818181694214953,-0.8823823650915452,-0.8823823650915452,-0.8823823635737241,-0.8823823600827413,-0.8823823600827413,-0.8823823662299105,-0.8835517988543968,-0.8,4.440892098500626e-16,0.2642140468227421,-0.42857142857142894
44,-0.9019772370317778,0.826086956521739,0.8184764991896272,0.8568232662192392,0.7577464788732395,-0.5918367346938775,0.33333333333333326,-0.4999999999999978,0.71875,0.9408076923076922,-0.8687267657992566,-0.7632575745454543,-0.7236842103808865,0.34090909152892523,-0.901985305760775,-0.901985305760775,-0.9019853065196842,-0.9019853021180089,-0.9019853021180089,-0.9019852980198959,-0.9029884367022075,-0.9,4.440892098500626e-16,0.29765886287625376,-0.42857142857142894
45,-0.9215990016996923,0.8586956521739131,0.8541329011345218,0.885906040268456,0.7746478873239437,-0.6530612244897956,0.33333333333333326,-0.4999999999999978,0.7083333333333333,0.9386153846153846,-0.8949814126394052,-0.8106060599999995,-0.7368421061772861,0.36363636611570094,-0.921588241876543,-0.921588241876543,-0.9215882441532723,-0.9215882441532763,-0.9215882441532763,-0.9215882441532751,-0.922382168064703,-0.9,4.440892098500626e-16,0.33110367892976544,-0.42857142857142894
46,-0.9607995008498462,0.931159420289855,0.9286871961102108,0.9418344519015656,0.8084507042253517,-0.7653061224489794,0.33333333333333326,-0.4999999999999978,0.6875,0.9342307692307692,-0.9474907063197026,-0.9053030290909088,-0.7631578946121891,0.4090909098347113,-0.9607941232150023,-0.9607941232150023,-0.9607941194204518,-0.9607941159294685,-0.9607941159294685,-0.9607941220766375,-0.9611696307896939,-0.9,4.440892098500626e-16,0.39799331103678903,-0.42857142857142894
47,-0.9803782353320855,0.963768115942029,0.9643435980551054,0.9709172259507823,0.8253521126760559,-0.826530612244898,0.33333333333333326,-0.4999999999999978,0.6770833333333333,0.9320384615384616,-0.9737453531598513,-0.9526515145454539,-0.7763157904085872,0.431818184421487,-0.9803970593307704,-0.9803970593307704,-0.9803970623664088,-0.9803970579647361,-0.9803970579647361,-0.9803970538666208,-0.9806062686375046,-1.0,4.440892098500626e-16,0.4314381270903007,-0.42857142857142894
48,-1.0,1.0,1.0,1.0,0.8422535211267608,-0.8877551020408162,0.33333333333333326,-0.4999999999999978,0.6666666666666667,0.9298461538461538,-1.0,-1.0,-0.7894736830470919,0.4545454535537168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.440892098500626e-16,0.4648829431438122,-0.42857142857142894
49,-0.8749973106133953,0.923913043478261,0.9286871961102108,0.9127516778523488,0.7915492957746477,-0.846938775510204,0.33333333333333326,-0.4999999999999978,0.6222774621212122,0.8640000000000001,-0.9566914498141263,-0.9053030290909088,-0.7434210524965377,0.4545454535537168,-0.8750000017075461,-0.8750000017075461,-0.8749999986719063,-0.8750000030735873,-0.8750000030735873,-0.8749999928283023,-0.875013408276661,-1.0,4.440892098500626e-16,0.41806020066889626,-0.42857142857142894
50,-0.8125174810129305,0.8876811594202898,0.8930307941653159,0.8680089485458613,0.7690140845070417,-0.826530612244898,0.33333333333333326,-0.4999999999999978,0.6000828598484849,0.831076923076923,-0.9350371747211896,-0.8579545454545455,-0.7203947356423132,0.4545454535537168,-0.812500000284591,-0.812500000284591,-0.8124999980078609,-0.8124999984632095,-0.8124999984632095,-0.8124999964141525,-0.8124986591723339,-1.0,4.440892098500626e-16,0.39799331103678903,-0.42857142857142894
51,-0.7499946212267906,0.8514492753623188,0.8541329011345218,0.8232662192393729,0.7464788732394365,-0.8061224489795916,0.33333333333333326,-0.4999999999999978,0.5778882575757576,0.7981538461538462,-0.9133828996282528,-0.8106060599999995,-0.6973684219459836,0.4545454535537168,-0.7499999988616359,-0.7499999988616359,-0.7499999973438156,-0.7499999938528317,-0.7499999938528317,-0.7500000000000006,-0.7499839100680068,-0.9,4.440892098500626e-16,0.3712374581939797,-0.42857142857142894
52,-0.6249919318401859,0.7753623188405796,0.7828200972447326,0.7360178970917226,0.6957746478873237,-0.7653061224489794,0.33333333333333326,-0.4999999999999978,0.533499053030303,0.7323076923076923,-0.8700743494423792,-0.715909090909091,-0.6513157882375344,0.4545454535537168,-0.625000000569182,-0.625000000569182,-0.6250000013280907,-0.6249999969264154,-0.6249999969264154,-0.6249999928283028,-0.6249973183446678,-0.9,4.440892098500626e-16,0.3244147157190631,-0.42857142857142894
